24848484856667068514852543#Gdańska 1#54.07064899404#18.767718058
24848484856574869537068563#Gdańska 2#54.07072454050#18.767471294
24848484856675655524952653#Gdańska 3#54.07142333875#18.768233044
24848484856654951666750533#Gdańska 4#54.07175699502#18.768190126
24848484856667068494954553#Gdańska 5#54.07211582991#18.768694382
24848484865575655655256653#Gdańska 6#54.07213471587#18.768447618
24848484856675669567056683#Gdańska 7#54.07284608080#18.768855314
24848484856664968545370513#Gdańska 8#54.07297828002#18.769273739
24848484856675669496749693#Gdańska 9#54.07312306916#18.769767265
24848484856665248675648513#Gdańska 10#54.0732678578#18.770260792
!#54.069937591467884#18.766623716801405#Base
