24848484856667068514852543#Gdañska 1#54.0706489940#18.767718058
24848484856574869537068563#Gdañska 2#54.07072454050#18.767471294
24848484856675655524952653#Gdañska 3#54.07142333875#18.768233044
24848484856654951666750533#Gdañska 4#54.07175699502#18.768190126
24848484856667068494954553#Gdañska 5#54.07211582991#18.768694382
24848484865575655655256653#Gdañska 6#54.07213471587#18.768447618
24848484856675669567056683#Gdañska 7#54.07284608080#18.768855314
24848484856664968545370513#Gdañska 8#54.07297828002#18.769273739
24848484856675669496749693#Gdañska 9#54.07312306916#18.769767265
24848484856665248675648513#Gdañska 10#54.0732678578#18.770260792
-#Baza – Gdañska 14#54.07282247376098#18.768296828493476
